Id, Image, Time, X, Y, Z, Heading, Roll, Pitch, Camera, Quality, Line, Color, AccuracyXyz
1,p000000.jpg,1727874872.6303,0.0413,0.0327,0.1859,-0.8694,-0.7251,1.8214,0,1,0,C0;0;0;0;0;0,0.1
2,p000001.jpg,1727874873.6723,0.0496,0.0231,0.1827,-0.7934,-0.5625,1.8599,0,1,0,C0;0;0;0;0;0,0.1
3,p000002.jpg,1727874874.6723,0.0275,0.0359,0.1721,-0.7635,-0.6453,1.7224,0,1,0,C0;0;0;0;0;0,0.1
4,p000003.jpg,1727874875.6723,0.0383,0.0262,0.1832,-0.9277,-0.3735,1.8562,0,1,0,C0;0;0;0;0;0,0.1
5,p000004.jpg,1727874876.7133,0.0431,0.0371,0.1712,-0.7155,-0.4891,1.8494,0,1,0,C0;0;0;0;0;0,0.1
6,p000005.jpg,1727874877.7133,0.0330,0.0256,0.1891,-0.9225,-0.8463,1.5450,0,1,0,C0;0;0;0;0;0,0.1
7,p000006.jpg,1727874878.7133,0.0416,0.0207,0.1769,-0.7707,-0.7279,1.6068,0,1,0,C0;0;0;0;0;0,0.1
8,p000007.jpg,1727874879.7133,0.0389,0.0200,0.1725,-0.8492,-0.7044,1.4818,0,1,0,C0;0;0;0;0;0,0.1
9,p000008.jpg,1727874880.7553,0.0384,0.0192,0.1816,-0.8739,-0.6793,1.6663,0,1,0,C0;0;0;0;0;0,0.1
10,p000009.jpg,1727874881.7553,0.0404,0.0313,0.1636,-0.7168,-0.6123,1.7274,0,1,0,C0;0;0;0;0;0,0.1
11,p000010.jpg,1727874882.7553,0.0212,0.0252,0.1894,-0.8931,-0.2188,1.7155,0,1,0,C0;0;0;0;0;0,0.1
12,p000011.jpg,1727874883.7553,0.0540,0.0201,0.1847,-1.0729,-0.2155,1.7763,0,1,0,C0;0;0;0;0;0,0.1
13,p000012.jpg,1727874884.7973,0.0448,0.0283,0.1758,-1.1899,-0.3488,1.6876,0,1,0,C0;0;0;0;0;0,0.1
14,p000013.jpg,1727874885.7973,0.0437,0.0164,0.1815,-1.2734,-0.1709,1.8929,0,1,0,C0;0;0;0;0;0,0.1
15,p000014.jpg,1727874886.7973,0.0479,0.0322,0.1691,-1.0579,-0.2990,1.8545,0,1,0,C0;0;0;0;0;0,0.1
16,p000015.jpg,1727874887.8383,0.0137,0.0294,0.1961,2.7271,-2.2601,1.2234,0,1,0,C0;0;0;0;0;0,0.1
17,p000016.jpg,1727874888.8383,-0.0919,-0.1086,0.4469,22.1074,2.4835,2.5750,0,1,0,C0;0;0;0;0;0,0.1
18,p000017.jpg,1727874889.8383,-0.3530,-0.2962,0.6662,30.5443,0.0965,-2.3438,0,1,0,C0;0;0;0;0;0,0.1
19,p000018.jpg,1727874890.8383,-0.5310,-0.3264,0.7057,22.0193,-0.1120,-2.7602,0,1,0,C0;0;0;0;0;0,0.1
20,p000019.jpg,1727874891.8803,-0.7223,-0.0133,0.6863,22.5828,1.7160,-1.5558,0,1,0,C0;0;0;0;0;0,0.1
21,p000020.jpg,1727874892.8803,-0.7348,0.5267,0.6990,20.2857,-1.9432,-3.5485,0,1,0,C0;0;0;0;0;0,0.1
22,p000021.jpg,1727874893.8803,-0.8854,1.0619,0.6809,27.4461,0.5345,-2.9957,0,1,0,C0;0;0;0;0;0,0.1
23,p000022.jpg,1727874894.8803,-0.9815,1.7568,0.6997,29.0006,-0.4694,-2.0165,0,1,0,C0;0;0;0;0;0,0.1
24,p000023.jpg,1727874895.9223,-1.0896,2.4144,0.6833,39.3363,0.4755,-4.9762,0,1,0,C0;0;0;0;0;0,0.1
25,p000024.jpg,1727874896.9223,-1.0832,2.9996,0.6991,45.2945,0.7561,-3.4408,0,1,0,C0;0;0;0;0;0,0.1
26,p000025.jpg,1727874897.9633,-1.0147,3.3192,0.7329,49.1260,2.0263,-3.3762,0,1,0,C0;0;0;0;0;0,0.1
27,p000026.jpg,1727874898.9633,-0.5892,3.3751,0.6842,42.3587,2.4561,-3.6541,0,1,0,C0;0;0;0;0;0,0.1
28,p000027.jpg,1727874899.9633,-0.1053,3.3279,0.7120,38.4489,1.0441,-0.1541,0,1,0,C0;0;0;0;0;0,0.1
29,p000028.jpg,1727874901.0053,0.3845,3.1067,0.6895,31.2515,3.0237,-3.4003,0,1,0,C0;0;0;0;0;0,0.1
30,p000029.jpg,1727874902.0053,0.8906,2.9730,0.6868,25.9035,4.2602,-1.2905,0,1,0,C0;0;0;0;0;0,0.1
31,p000030.jpg,1727874903.0053,1.4719,2.8351,0.6904,26.2401,2.6167,-2.8892,0,1,0,C0;0;0;0;0;0,0.1
32,p000031.jpg,1727874904.0053,2.0485,2.6800,0.6770,18.9483,3.8259,-1.8639,0,1,0,C0;0;0;0;0;0,0.1
33,p000032.jpg,1727874905.0473,2.7519,2.5792,0.6618,23.2596,3.1674,-4.1025,0,1,0,C0;0;0;0;0;0,0.1
34,p000033.jpg,1727874906.0463,3.3346,2.3910,0.6709,20.8272,5.4757,-1.9121,0,1,0,C0;0;0;0;0;0,0.1
35,p000034.jpg,1727874907.0463,3.7947,2.4552,0.6549,13.7013,4.2013,-0.5240,0,1,0,C0;0;0;0;0;0,0.1
36,p000035.jpg,1727874908.0463,4.2920,2.3782,0.6675,16.5484,5.9680,-2.9802,0,1,0,C0;0;0;0;0;0,0.1
37,p000036.jpg,1727874909.0883,4.8082,2.5035,0.6436,8.2924,7.6662,0.0213,0,1,0,C0;0;0;0;0;0,0.1
38,p000037.jpg,1727874910.0883,5.3296,2.5235,0.6756,7.4547,3.1322,1.7334,0,1,0,C0;0;0;0;0;0,0.1
39,p000038.jpg,1727874911.0883,5.8593,2.6142,0.6639,7.7061,4.5784,5.1806,0,1,0,C0;0;0;0;0;0,0.1
40,p000039.jpg,1727874912.1293,6.4847,2.7417,0.6535,8.4937,5.6913,2.9627,0,1,0,C0;0;0;0;0;0,0.1
41,p000040.jpg,1727874913.1303,6.9922,2.6794,0.7091,-0.8582,3.5128,1.1120,0,1,0,C0;0;0;0;0;0,0.1
42,p000041.jpg,1727874914.1303,7.5559,2.7027,0.6941,-2.6771,4.3876,4.4287,0,1,0,C0;0;0;0;0;0,0.1
43,p000042.jpg,1727874915.1303,8.1623,2.6820,0.6825,0.9901,1.0736,5.6034,0,1,0,C0;0;0;0;0;0,0.1
44,p000043.jpg,1727874916.1713,8.8685,2.6637,0.6607,-1.9601,2.4875,3.4976,0,1,0,C0;0;0;0;0;0,0.1
45,p000044.jpg,1727874917.1713,9.5002,2.7743,0.6170,2.5779,5.8335,3.2243,0,1,0,C0;0;0;0;0;0,0.1
46,p000045.jpg,1727874918.1713,10.1890,2.7882,0.5887,5.5006,3.6568,-0.5424,0,1,0,C0;0;0;0;0;0,0.1
47,p000046.jpg,1727874919.1713,10.8659,2.8660,0.5379,0.3301,1.4293,2.2404,0,1,0,C0;0;0;0;0;0,0.1
48,p000047.jpg,1727874920.2133,11.5310,2.9929,0.5521,-6.4275,3.5646,-0.6241,0,1,0,C0;0;0;0;0;0,0.1
49,p000048.jpg,1727874921.2133,12.0062,2.9196,0.6100,-15.9181,1.2324,0.5612,0,1,0,C0;0;0;0;0;0,0.1
50,p000049.jpg,1727874922.2133,12.2187,2.8341,0.6073,-23.1814,1.4045,1.5448,0,1,0,C0;0;0;0;0;0,0.1
51,p000050.jpg,1727874923.2133,12.6799,2.7980,0.6395,-39.2106,-0.9852,5.3625,0,1,0,C0;0;0;0;0;0,0.1
52,p000051.jpg,1727874924.2553,12.9411,2.8655,0.6529,-28.7844,0.2219,3.3550,0,1,0,C0;0;0;0;0;0,0.1
53,p000052.jpg,1727874925.2553,12.9064,2.8398,0.6485,-37.6838,1.5007,2.8096,0,1,0,C0;0;0;0;0;0,0.1
54,p000053.jpg,1727874926.2553,12.6331,2.6954,0.6281,-29.9295,4.3598,0.9156,0,1,0,C0;0;0;0;0;0,0.1
55,p000054.jpg,1727874927.2963,12.1582,2.4700,0.6116,-31.4280,2.0868,5.8059,0,1,0,C0;0;0;0;0;0,0.1
56,p000055.jpg,1727874928.2963,11.7393,1.9908,0.6088,-34.1866,5.4271,3.6332,0,1,0,C0;0;0;0;0;0,0.1
57,p000056.jpg,1727874929.2963,11.2897,1.5335,0.6035,-31.3674,3.5071,2.2660,0,1,0,C0;0;0;0;0;0,0.1
58,p000057.jpg,1727874930.2963,10.8572,1.1726,0.5858,-30.7872,5.5876,0.6266,0,1,0,C0;0;0;0;0;0,0.1
59,p000058.jpg,1727874931.3383,10.4478,0.6633,0.6112,-28.0294,3.7316,0.6314,0,1,0,C0;0;0;0;0;0,0.1
60,p000059.jpg,1727874932.3383,9.9438,0.2691,0.5893,-34.0206,3.0078,1.4503,0,1,0,C0;0;0;0;0;0,0.1
61,p000060.jpg,1727874933.3383,9.4963,-0.2220,0.5898,-32.6165,4.0740,0.1897,0,1,0,C0;0;0;0;0;0,0.1
62,p000061.jpg,1727874934.3383,8.9428,-0.5931,0.5655,-27.1549,2.0833,-0.9330,0,1,0,C0;0;0;0;0;0,0.1
63,p000062.jpg,1727874935.3803,8.3855,-0.9276,0.5518,-24.8928,4.8242,-1.7838,0,1,0,C0;0;0;0;0;0,0.1
64,p000063.jpg,1727874936.3803,7.9169,-1.1998,0.5811,-16.5865,1.4822,-2.8265,0,1,0,C0;0;0;0;0;0,0.1
65,p000064.jpg,1727874937.3803,7.3446,-1.3612,0.5854,-20.9491,2.3055,-1.9161,0,1,0,C0;0;0;0;0;0,0.1
66,p000065.jpg,1727874938.4213,6.7823,-1.5845,0.5871,-15.7034,4.2496,-4.3010,0,1,0,C0;0;0;0;0;0,0.1
